text_previous;text_analyzed;category;subcategory_num;subcategory;text_after
[empieza tema de conversación];Hay sitios que va todo el mundo y yo de verdad que quiero saber los entresijos de los personajacos que deben de ir al MediaMarkt.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Es que esto tiene que ser maravilloso porque te puedes encontrar de to. De una idea, nos lo va a contar el invitado de hoy.
[empieza tema de conversación];Gente que te intenta regatear, se cree que si se lleva 2 portátiles, se lo voy a, se le va a bajar el precio. Efectivamente, ni que yo fuera el dueño de allí de la tienda. Hermano, si yo me llevo estos 2 portátiles, ¿en cuánto me lo dejas?;3. Pragmatics and Discourse;3.2;Familiar address or vocatives;Efectivamente, ni que yo fuera el dueño de allí de la tienda. Hermano, si yo me llevo estos 2 portátiles, ¿en cuánto me lo dejas? Pues al mismo precio.
[empieza tema de conversación];Esta vez, una de mis regiones favoritas, la región del fish and chips, de la peña con los dientes de aquella manera, de esa gente que todo el mundo habla en su idioma, pero ellos no hablan en el idioma de nadie. Vamos a conocer cómo es Inglaterra.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;Vamos a conocer cómo es Inglaterra.
[empieza tema de conversación];Tío, ¿quién te enseñó español para hablar tan bien?;3. Pragmatics and Discourse;3.2;Familiar address or vocatives;Hice una carrera de Estudios Hispánicos, por eso hablo español. Aparte de eso, siempre estaba con mis amigos españoles. O sea, estando en Japón, de entre 4 a 7 hablaban en español y era el único japonés en ese grupo hispanohablante.
[empieza tema de conversación];¿La música española te gusta? Sí, Canto del Loco, Amaral, La Oreja de Van Gogh. Esto es muy fuerte, tío.;3. Pragmatics and Discourse;3.2;Familiar address or vocatives;Me encanta. Amaral me parece la mejor artista de España.
[empieza tema de conversación];Como una persona que eres japonés: ¿no te parece como un poco raro que prácticamente todo el mundo esté que no caga con Japón?;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Sí, la verdad es que sí. Todo el mundo está metido en el tema de animes y viene aquí comprando figuras y todo eso. A mí me parece bien, pero que es raro.
[empieza tema de conversación];Yo trabajaba en un edificio, en una multinacional. Lanzan un comunicado, una agencia de todos superpijos y todos súper moneymakers y aquí somos todos la hostia, pues había un zurullo, tío, un zurullo fuera del váter.;1. Lexicon and Vocabulary;1.5;Informal intensifiers and quantifiers;Eso se hizo viral y todo el mundo, claro, al final los conocemos todos, aunque estéis en agencias diferentes, todo el mundo empezó a hacerse eco, salió hasta en Twitter...
[empieza tema de conversación];Yo voy a abrir un melón. En tus vídeos se critica mucho a los franceses. Yo hoy vengo a defenderles, tío. Son los menos tocahuevos.;1. Lexicon and Vocabulary;1.2;Colloquial lexicon and slang;De verdad, te lo juro, o sea, llegan, te piden su café latte y ya está, y no te dan por culo Pero es que tengo 3 nacionalidades, les metí a un patadón, tengo top 3 Empezando por abajo, los chinos son unos maleducados Y yo les volví a decir Pero bueno, por lo menos nos han pedido en mi cara que te agradece Eso está bien, eh Luego los segundos, bueno, es que están ahí los portugueses y los italianos
[empieza tema de conversación];Era por la mañana, pero te estoy hablando 7 y media. Vemos entrar a una chica y a un chico jovencitos. Se pusieron ahí enfrente de la barra y empezaron a magrearse, a darse unos buenos besitos y nosotras diciendo, bueno, pues bien.;3. Pragmatics and Discourse;3.1;Discourse markers;Limpiando un vaso, sí. Y se estaban comiendo, literal. Se levanta el chico y se va al baño. 30 segundos, se levanta la chica y se va para el baño. Pasa media hora, me da por preguntarle a mi compañera, oye, ¿tú has visto salir a estos 2 de la tienda? Porque no había nadie, yo salgo al baño de los chicos Pone el código y estaban ahí Pasándoselo súper bien
[empieza tema de conversación];Entonces fui, miraba los pisos, era a lo mejor como un bajo a tomar por el culo con humedades 1 habitación asquerosa. Mil euros cada uno. Conseguí llorarle un montón a los de la residencia. Puede que haya un sitio, pero tienes que compartir con 5 israelíes. Me doy con un canto en los dientes.;1. Lexicon and Vocabulary;1.4;Idiomatic expressions and colloquial phraseology;Yo no sabía que Jerusalén iba a hacer un frío que te cagas. No tenía edredón y me pasé, no sé si te digo, a lo mejor los 6 meses durmiendo en el saco de dormir hasta que no me compré una almohada.
