text_previous;text_analyzed;text_after
[empieza tema de conversación];O sigui, jo hi ha gent també i de vegades ja penso, hòstia, gordi, i si calles la putíssima boca. En plan, ostres, nano, per què no calles, loca?;És que també té moltes parts negatives d'això i té una cosa, en plan, jo tampoc considero que sigui superpolèmica, en plan, jo, per exemple, soc molt cordial, no em mullo, així com tu sí que sento que dius opinions com molt polèmiques, jo amb això, gens.
[empieza tema de conversación];A tot això, a tu realment te la suda molt el que pensi la resta? És que no ho sé, perquè jo et diria que no, que no m'importa gens el que pensi la resta, i de fet crec que és una cosa que m'ha caracteritzat des de sempre, i en èpoques molt difícils com l'adolescència, etcètera, jo també m'he mantingut molt ferma amb qui soc jo;Sempre he fet una mica el que m'ha vingut de gust, encara que fos una bogeria, però després penso que és mentida, que segur que penso tot el rato en realitat, perquè al final és que vivim en societat, és que si realment no penses en els altres, llavors ets un d'aquests bojos que va descalços i despullat i cridant pel carrer.
[empieza tema de conversación];Jo sóc molt desconfiada, però molt desconfiada. Jo pense que te me l'estan a punt de fotre per l'esquena. Tot el rato.;Mira, per exemple, el Marc Andreu, jo encara no critico amb ell per WhatsApp, hem de quedar presencialment per criticar, perquè no vull que quedi constància la meva criticada. Imagina la desconfiada que soc.
[empieza tema de conversación];O sigui, és que realment me vaig començar a fer coneguda perquè ho vaig deixar amb la meva parella i em vaig tornar loca. En plan, uau, he perdut O sigui, clar, és que jo en aquell moment se m'acabava el puto món, t'ho juro. I ara ho veig en perspectiva i dic, amor, relaxat.;Però és normal, és que hi ha moment quan ho deixes Hi ha gent que diu, és que em torno boja. O sigui, una ruptura sempre és un moment de loca.
[empieza tema de conversación];És que, de fet, aquest és el primer meló que volia obrir de la solteria, que, clar, sembla que quan ets un home i estàs solter, és una solteria escollida, en plan, estic solter perquè vull, i si ets un lligón, a sobre ets el puto amo, però quan ets una noia i estàs soltera, ja és perquè ningú et vol, mai és soltera per voluntat pròpia, sempre la idea és estar soltera perquè algú té alguna tara i no la volen, i si a sobre ets una lligona, estàs desesperada.;Llavors, clar, és que són 2 maneres de viure la solteria super diferent.
[empieza tema de conversación];Clar, però alhora és que vull dir, perdó, però ja no vull pas obrir una bandera lila, però a vegades com a tia és impossible fer-ho bé. Perquè si estàs soltera i no lligues, per a alguns ets d'autovalor, però per a alguns, quin és el teu fallo? Per què no estàs follant? En canvi, si estàs soltera i lligues molt, ets una guarra. Què faig? Mira, jo lo que trobo que hem de fer és lo que mos surti del xotxo, del cony, saps?;Totalment.
[empieza tema de conversación];Mira, jo, és a dir, jo realment me'n recordo etapes de la meva vida que estava soltera, que era una soltera infeliç, pel que dèiem de tot el rato estar pendent de dir, bueno, vale, molt bé, tinc amigues i família, però A veure quan ve el puto nòvio, saps?;I com vius amb aquella impaciència, i també allò de no saber-ho si estàs fent bé, rotllo, si lligava, em sentia una guarra per lligar, i si no lligava pensava, per què ningú m'està tirant la canya?
[empieza tema de conversación];Mira, lligar jo penso que és com anar a fer la compra al súper, que diuen que no hi pots anar mai amb gana. Perquè llavors compres moltes coses que no necessites. I quan vas a comprar al super, que ja no tens gana, fas una compra amb seny.;[acaba tema de conversación]
[empieza tema de conversación];I llavors quan vaig començar a anar a la platja amb les amigues com a pla de platja, o sigui, que ja implicava una socialització i que ja implicava totes les normes amb les que ens hem socialitzat les noies, era com, hòstia, necessito looks per anar a la platja. Com que looks per anar a la platja?;A mi encara ara em segueix fent mal gastar-me diners en roba maca per anar a la platja, perquè penso, és que és total, és per anar a la platja.
[empieza tema de conversación];Jo moltes vegades em noto com superfrenada del que estic fent perquè ja me dono cringe a la mínima, saps? O sigui, me fa cringe fins i tot anar al metro, qualsevol puta merda, en plan obrir la porta, me fa vergonya.;Això és de teràpia, eh? Hashtag salut mental, ens hem de cuidar.
[empieza tema de conversación];"Ja, jo soc molt tocona, perdoneu-me. De fet, moltes vegades, a molta gent ficava comentaris de ""aquesta presentadora és una tiracanyes"".";Sí que és veritat. Quan hi vaig anar em vaig sentir supertocada, m'encanta.
[empieza tema de conversación];De fet, jo quan anava a l'insti tenia superdepressió perquè estava com molt de moda, en plan, com més plans feies, més xula eres. Llavors era, faig un pla, ni que sigui fer un cafè de 5 minuts amb una amiga i he de penjar un instastory per deixar constància que he fet aquest pla. Era una cosa de madness molt bèstia.;I a dia d'avui, com més privat ets, en plan, la penya que ara està a l'institut, és com poden fer un pla superguai, per exemple, se'n van a Nova York un puto més, pensaran potser un Instastory I els hi pela.
[empieza tema de conversación];Estic tenint un recuerdo de Vietnam, nenes. Vaig estar a una discoteca molt gay, que no diré nom, i un tio de 50 anys va intentar lligar amb mi 50 hores seguides, jo intentant fer-li veure que no, i m'ha dit, jo soc bailarín, no sé què, bailamos, i jo així, que no, que no, que no, i jo que no, i ell, que sí, que sí, que sí, que sí, per demostrar-m'ho, de cop i volta, obre les cames fent el puto espagat i rebotant el cul contra el terra fent l'espagat.;Jo em vaig quedar...
[empieza tema de conversación];La meva conclusió és que no fer cringe també fa cringe, perquè vol dir que ets una persona amb molt NPC, amb una personalitat 0 definida. Jo crec que quan tu te la jugues a la vida i ets tu mateixa, en alguns moments fas cringe, ja està, victòries i derrotes, la vida consisteix en això.;I no fer cringe mai, no fer cringe mai, és fer cringe. Perquè vol dir que ets una persona que se senta en un bar, simplement escolta i no té pors d'Instagram, sinó que té destacadors.
[empieza tema de conversación];A la vida hi ha d'haver una mica de salsa i de vegades, si no existeix, ja l'hi posem nosaltres. Què serien les converses amb amigues sense aquell punt d'exageració? Sense aquell detallet extra que afegeix una mica de suc a una xafarderia?;Sense aquella emoció magnificada entremig de l'explicació sobre un ars de nivell totalment normal, l'exageració afegeix energia literaturesca a la vida i per això, depèn del context, podem gaudir-la molt o podem no gaudir-la gens.
[empieza tema de conversación];Després parlarem de ser businesswoman, que tu i jo en privat en parlem molt i en tinc moltes ganes. Abans, però, una cosa que a mi m'obsessiona de ser una girl és la intuïció femenina. Ull de sonada, mai falla la tirada.;Expressió catalana. Un dia la volia dir en castellà a la ràdio, la vaig ficar al guió i la lingüista em va dir, mira, en català es diu així, i vaig dir: L'apuntem.
[empieza tema de conversación];També és molt important per a l'amistat, i jo pensava que no, i no ho entenia, l'admiració. Perquè jo sempre havia escoltat allò de, és molt important admirar la gent del teu entorn, i jo pensava, xd, jo a la meva amiga Laura, no l'admiro, amb la meva puta mare fent viures, però no l'admiro.;Però ara, que et vas fent gran i cada cop tens menys amigues, el cercle es redueix, que a mi m'encanta, és la millor sensació del món, o sigui, fer lligams més forts i no tants
